"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","docw","doch","responses","q1film","q2music","q3food","view_history","key_press","partner","test_part","trial_no","correct_response","intime","condition","amounta","amountb","colora","colorb","computeramount","cooperate","yourpayout","yourcolor","computerpayout","computercolor","xposfinal","yposfinal","xposstore","yposstore","timestamp","noofpartners","chose1","chose2","chose3","chose4","chose5","chose1_ind","chose2_ind","chose3_ind","chose4_ind","chose5_ind","group_chosen","group_notchosen","partner_accept","partner_reject","partner_accept_task1","a_top_no","a_bottom_no","b_top_no","b_bottom_no","outside_no","ownamount","defected","timedout"
"null","<table>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/9ymqjo.png""></img> </td>                <th>Your choice</th><td>=</td>                <td style = ""background-color: #00ff7f""><b>350<b></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto.png""></img> </td>                <th>Your partners choice</th><td>=</td>                <td style = ""background-color: #00ff7f;""><b>350<b></td></tr>              <tr><th></th> <td></td> <td></td><td></td></tr>              <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;"">                <th style=""color:red"">REWARDS</th><td></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">You</th>                <td style = ""font-size: 30px;""><b>350<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">Your partner</th>                <td style = ""font-size: 30px;""><b>350<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>            </table>","","html-keyboard-response","27","54773","0.0-3.0-1.1","9ymqjo","1536","734","","","","","","null","","4_feedback_auto","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"769","<p>You have finished the first part of this task.<br><br>Now, before you complete the remainder, you have an opportunity to select partners you would like to play with. Once you have made your decision, we will re-match you with a partner who you will complete the task with.<br><br>When you are ready, click the button to choose your partners.<br><br></p>","0","html-button-response","28","56046","0.0-4.0-0.0","9ymqjo","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1978","","","survey-multi-select","29","59036","0.0-4.0-1.0","9ymqjo","1536","734","{""Q0"":[""<br><img style='width:200; float:left' src='svgavatars/ready-avatars/partner2.png'></img><p style='font-size:14'><b>Film</b>: Love a good chick flick, all the classics. Top of the list: When Harry met Sally.<br><b>Music</b>: Poppy things like Ed Sheeren and Taylor Swift.<br><b>Food</b>: I have Spanish family. I can make a good paella<br><br><br>>""]}","","","","","","","","","","","","","","","","","","","","","","","","","","","1","false","true","false","false","false","0","1","0","0","0","2","1,3,4,5","2","1","2","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while other participants make their partner choices and you are matched...","","html-keyboard-response","30","62038","0.0-4.0-2.0","9ymqjo","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while other participants make their partner choices and you are matched...","","html-keyboard-response","31","64538","0.0-4.0-3.0","9ymqjo","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while other participants make their partner choices and you are matched...","","html-keyboard-response","32","66541","0.0-4.0-4.0","9ymqjo","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button><br><br><br>Please wait while other participants make their partner choices and you are matched...","","html-keyboard-response","33","68542","0.0-4.0-5.0","9ymqjo","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1376","The partner you have been matched with is: <b> Partner 2</b>.<br><br><div><img src='svgavatars/ready-avatars/partner2.png'></img><br><br></div><br><b>Congratulations!!!</b> You are matched: you are each one of the other's top 3 favourites.<br><br>Because each of you was in the other's top three favourite partners, you've been assigned to play with Partner 2. To proceed you will need to finish the task together.<br><br>Click the button below to proceed.<br><br>","0","html-button-response","34","70920","0.0-4.0-6.0","9ymqjo","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3517","The partner you have been matched with is: <b> Partner 2</b>.<br><br><div><img src='svgavatars/ready-avatars/partner2.png'></img><br><br></div><b>Sorry!! You are not matched: you are not one of your partner's top three favourites.<br><br>But because no other participant chose you as one of their top three favourite partners, you've been assigned to play with Partner 2. To proceed, you will need to finish the task together.<br><br>Click the button below to proceed.<br><br>","0","html-button-response","35","75441","0.0-4.0-7.0","9ymqjo","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1163","<p>The remainder of this task involves the same procedure as before.<br><br>The only difference is that now you are playing with the new partner you have been matched with.<br><br>Click the button below to begin.</p>","0","html-button-response","36","77606","0.0-4.0-8.0","9ymqjo","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
