"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","docw","doch","responses","q1film","q2music","q3food","view_history","key_press","partner","test_part","trial_no","correct_response","intime","condition","amounta","amountb","colora","colorb","computeramount","cooperate","yourpayout","yourcolor","computerpayout","computercolor","xposfinal","yposfinal","xposstore","yposstore","timestamp"
"1004","","2","html-button-response","30","66708","0.0-1.0-0.3-5.3","xqfp9t","1127","734","","","","","","","","3_choice","6","","","-1","300","350","#ffaa00","#00ff7f","350","true","350","#00ff7f","350","#00ff7f","1036","70","602,610,610,622,642,642,671,671,719,782,782,802,802,815,824,824,829,829,832,835,835,836,836,836,836,836,836,836,836,836,836,836,836,836,836,836,833,833,828,816,816,816,816,816,816,816,816,816,816,816,816,817,817,830,847,847,864,864,881,906,906,935,935,960,960,984,988,988,996,999,999,1001,1001,1004,1007,1007,1009,1009,1013,1016,1016,1020,1020,1024,1027,1027,1029,1029,1032,1035,1035,1036,1036,1036,1036,1036,1036,1036,1036,1036","553,541,541,520,460,460,368,368,257,156,156,118,118,93,76,76,62,62,54,50,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,51,51,52,52,52,52,52,52,52,52,52,52,52,52,54,57,57,60,60,61,64,64,68,68,74,74,80,81,81,83,84,84,84,84,84,84,84,84,84,84,82,82,81,81,80,77,77,76,76,74,72,72,70,70,70,70,70,70,70,70,70","10,21,30,40,51,60,70,80,91,101,110,121,131,140,151,161,171,180,190,201,210,221,230,241,251,260,270,281,291,301,310,321,331,341,352,360,371,380,391,401,411,420,430,442,451,461,470,481,491,501,510,522,531,540,550,561,571,581,591,601,611,621,631,640,651,660,670,681,691,702,711,721,731,740,751,761,771,780,791,802,811,821,830,840,850,861,872,880,890,901,911,922,931,941,951,960,971,981,991,1001"
"null","<table>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/xqfp9t.png""></img> </td>                <th>Your choice</th><td>=</td>                <td style = ""background-color: #00ff7f""><b>350<b></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto.png""></img> </td>                <th>Your partners choice</th><td>=</td>                <td style = ""background-color: #00ff7f;""><b>350<b></td></tr>              <tr><th></th> <td></td> <td></td><td></td></tr>              <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;"">                <th style=""color:red"">REWARDS</th><td></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">You</th>                <td style = ""font-size: 30px;""><b>350<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">Your partner</th>                <td style = ""font-size: 30px;""><b>350<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>            </table>","","html-keyboard-response","31","70210","0.0-1.0-1.3","xqfp9t","1127","734","","","","","","null","","4_feedback_auto","6","","","","","","","","","","","","","","","","","",""
"null","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><div class='float: center;'><img src='img/waiting.gif'></img></div><br>Please wait while your partner makes their choice...","","html-keyboard-response","32","72716","0.0-1.0-0.4-0.4","xqfp9t","1127","734","","","","","","null","svgavatars/ready-avatars/partner_auto.png","","","","","","","","","","","","","","","","","","","",""
"612","","1","html-button-response","33","74078","0.0-1.0-0.4-1.4","xqfp9t","1127","734","","","","","","","","1_start_click","5","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","34","74186","0.0-1.0-0.4-3.4","xqfp9t","1127","734","","","","","","","","2_start_leave","5","true","yes","","","","","","","","","","","","","","","",""
"973","","2","html-button-response","35","75160","0.0-1.0-0.4-5.4","xqfp9t","1127","734","","","","","","","","3_choice","5","","","-2","250","350","#ffaa00","#0064ff","350","true","350","#0064ff","350","#0064ff","1064","39","591,589,589,580,574,574,568,568,564,556,556,544,544,527,506,506,493,493,481,468,468,456,456,442,424,424,406,406,380,364,364,341,341,321,295,295,275,275,253,210,210,196,190,190,190,190,190,190,190,190,250,284,390,390,513,513,640,815,815,911,911,972,1004,1004,1021,1021,1030,1038,1038,1041,1041,1044,1046,1046,1049,1049,1052,1055,1055,1059,1059,1060,1061,1061,1062,1062,1064,1064,1064,1064,1064,1064,1064,1064,1064","540,484,484,439,394,394,352,352,312,280,280,254,254,232,208,208,196,196,189,183,183,176,176,168,160,160,153,153,147,143,143,133,133,124,110,110,100,100,93,84,84,80,77,77,77,77,77,77,77,77,69,68,64,64,64,64,81,68,68,60,60,54,48,48,48,48,47,47,47,47,47,47,46,46,44,44,43,41,41,40,40,40,39,39,39,39,39,39,39,39,39,39,39,39,39","11,21,31,40,50,60,71,80,90,101,110,120,130,140,151,160,171,181,191,200,211,221,231,241,251,261,271,281,290,301,310,321,331,341,351,361,371,380,391,417,433,441,450,461,470,481,491,501,511,521,531,541,551,561,571,581,591,600,610,621,631,640,650,661,670,680,691,700,710,721,731,741,751,761,771,780,790,800,811,821,830,841,851,860,870,881,891,901,913,921,930,941,951,961,970"
"null","<table>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/xqfp9t.png""></img> </td>                <th>Your choice</th><td>=</td>                <td style = ""background-color: #0064ff""><b>350<b></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto.png""></img> </td>                <th>Your partners choice</th><td>=</td>                <td style = ""background-color: #0064ff;""><b>350<b></td></tr>              <tr><th></th> <td></td> <td></td><td></td></tr>              <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;"">                <th style=""color:red"">REWARDS</th><td></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">You</th>                <td style = ""font-size: 30px;""><b>350<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">Your partner</th>                <td style = ""font-size: 30px;""><b>350<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>            </table>","","html-keyboard-response","36","78662","0.0-1.0-1.4","xqfp9t","1127","734","","","","","","null","","4_feedback_auto","5","","","","","","","","","","","","","","","","","",""
"null","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><div class='float: center;'><img src='img/waiting.gif'></img></div><br>Please wait while your partner makes their choice...","","html-keyboard-response","37","80673","0.0-1.0-0.5-0.5","xqfp9t","1127","734","","","","","","null","svgavatars/ready-avatars/partner_auto.png","","","","","","","","","","","","","","","","","","","",""
"609","","1","html-button-response","38","82033","0.0-1.0-0.5-1.5","xqfp9t","1127","734","","","","","","","","1_start_click","4","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","39","82186","0.0-1.0-0.5-3.5","xqfp9t","1127","734","","","","","","","","2_start_leave","4","true","yes","","","","","","","","","","","","","","","",""
"889","","2","html-button-response","40","83076","0.0-1.0-0.5-5.5","xqfp9t","1127","734","","","","","","","","3_choice","4","","","-1","250","300","#ffaa00","#00ff7f","300","true","300","#00ff7f","300","#00ff7f","1083","61","572,572,572,576,588,588,592,592,592,590,590,586,586,580,566,566,553,553,540,522,522,506,506,488,462,462,435,435,415,407,407,407,407,410,425,425,463,463,536,643,643,784,828,828,956,956,1012,1012,1057,1080,1080,1093,1093,1100,1103,1103,1104,1104,1106,1106,1106,1106,1106,1106,1107,1107,1107,1107,1105,1100,1100,1093,1093,1090,1087,1087,1085,1085,1084,1084,1084,1084,1084,1084,1084,1084,1084,1083","544,508,508,464,384,384,348,348,325,308,308,291,291,274,257,257,244,244,233,220,220,212,212,201,193,193,188,188,183,178,178,177,177,172,162,162,148,148,120,99,99,72,66,66,39,39,28,28,22,17,17,16,16,14,14,14,13,13,13,13,13,13,13,13,13,14,16,16,20,35,35,46,46,52,56,56,59,59,61,61,61,61,61,61,61,61,61,61","12,22,31,42,52,62,72,82,92,101,112,122,132,142,151,162,172,182,192,202,212,222,232,242,251,262,271,281,292,301,311,322,331,342,352,362,372,382,391,401,412,422,433,442,452,461,471,481,492,501,512,522,532,542,551,562,572,582,591,601,612,621,632,641,652,661,671,682,692,701,712,721,731,742,752,762,772,782,792,802,812,822,832,842,852,862,872,882"
"null","<table>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/xqfp9t.png""></img> </td>                <th>Your choice</th><td>=</td>                <td style = ""background-color: #00ff7f""><b>300<b></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto.png""></img> </td>                <th>Your partners choice</th><td>=</td>                <td style = ""background-color: #00ff7f;""><b>300<b></td></tr>              <tr><th></th> <td></td> <td></td><td></td></tr>              <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;"">                <th style=""color:red"">REWARDS</th><td></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">You</th>                <td style = ""font-size: 30px;""><b>300<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">Your partner</th>                <td style = ""font-size: 30px;""><b>300<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>            </table>","","html-keyboard-response","41","86577","0.0-1.0-1.5","xqfp9t","1127","734","","","","","","null","","4_feedback_auto","4","","","","","","","","","","","","","","","","","",""
"null","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><div class='float: center;'><img src='img/waiting.gif'></img></div><br>Please wait while your partner makes their choice...","","html-keyboard-response","42","88584","0.0-1.0-0.6-0.6","xqfp9t","1127","734","","","","","","null","svgavatars/ready-avatars/partner_auto.png","","","","","","","","","","","","","","","","","","","",""
"null","","null","html-button-response","43","92338","0.0-1.0-0.6-1.6","xqfp9t","1127","734","","","","","","","","1_start_click","9","","","","","","","","","","","","","","","","","",""
"16619","","1","html-button-response","44","108958","0.0-1.0-0.6-2.6-0.6","xqfp9t","1127","734","","","","","","","","1_start_click_prompt","9","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","45","109134","0.0-1.0-0.6-3.6","xqfp9t","1127","734","","","","","","","","2_start_leave","9","true","yes","","","","","","","","","","","","","","","",""
"588","","0","html-button-response","46","109723","0.0-1.0-0.6-5.6","xqfp9t","1127","734","","","","","","","","3_choice","9","","","-2","450","350","#0064ff","#ffaa00","450","true","450","#0064ff","450","#0064ff","40","94","600,555,555,514,469,469,422,422,368,331,331,311,311,297,286,286,276,276,258,235,235,209,209,180,146,146,115,115,81,68,68,60,60,57,54,54,52,52,48,45,45,43,43,39,39,39,39,39,40,40,40,40,40,40,40","528,418,418,332,265,265,221,221,183,161,161,153,153,149,148,148,148,148,148,148,148,147,147,148,145,145,139,139,132,126,126,121,121,114,111,111,108,108,104,102,102,98,98,95,94,94,94,94,94,94,94,94,94,94,94","10,20,30,41,51,60,70,80,91,101,110,120,131,140,151,160,170,181,191,201,211,221,230,241,250,261,270,281,290,301,311,321,330,340,352,361,370,380,391,400,410,420,431,441,451,488,501,510,521,530,541,550,560,570,580"
"null","<table>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/xqfp9t.png""></img> </td>                <th>Your choice</th><td>=</td>                <td style = ""background-color: #0064ff""><b>450<b></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto.png""></img> </td>                <th>Your partners choice</th><td>=</td>                <td style = ""background-color: #0064ff;""><b>450<b></td></tr>              <tr><th></th> <td></td> <td></td><td></td></tr>              <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;"">                <th style=""color:red"">REWARDS</th><td></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">You</th>                <td style = ""font-size: 30px;""><b>450<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">Your partner</th>                <td style = ""font-size: 30px;""><b>450<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>            </table>","","html-keyboard-response","47","113226","0.0-1.0-1.6","xqfp9t","1127","734","","","","","","null","","4_feedback_auto","9","","","","","","","","","","","","","","","","","",""
